status,account_label,cabinet_id,cabinet_name,project_key,last_seen_at,last_positive_spend_at,last_spend,last_leads,notes
active,vk-account-1,1090548811,Яблочный Спас | Орск (2),яблочный спас|орск,,,,,
ignored_zero_spend,vk-account-1,1090532129,Аймоби | Москва (3),аймоби|москва,,,,,
